Title,Author,HTML_Link,Bookshelf
Butterflies and Moths (British),William S. Furneaux,https://www.gutenberg.org/cache/epub/34131/pg34131-images.html,Animals-Wild-Insects
Butterflies Worth Knowing,Clarence Moores Weed,https://www.gutenberg.org/cache/epub/37009/pg37009-images.html,Animals-Wild-Insects
"Wild Bees, Wasps and Ants and Other Stinging Insects",Edward Saunders,https://www.gutenberg.org/cache/epub/33874/pg33874-images.html,Animals-Wild-Insects
Our Common Insects,A. S. Packard,https://www.gutenberg.org/cache/epub/24409/pg24409-images.html,Animals-Wild-Insects
The Insect Folk,Margaret Warner Morley,https://www.gutenberg.org/cache/epub/18790/pg18790-images.html,Animals-Wild-Insects
The Life of the Fly; With Which are Interspersed Some Chapters of Autobiography,,https://www.gutenberg.org/cache/epub/3422/pg3422-images.html,Animals-Wild-Insects
The Life-Story of Insects,George H. Carpenter,https://www.gutenberg.org/cache/epub/16410/pg16410-images.html,Animals-Wild-Insects
The Glow-Worm and Other Beetles,Jean-Henri Fabre,https://www.gutenberg.org/cache/epub/27868/pg27868-images.html,Animals-Wild-Insects
The Wonders of Instinct: Chapters in the Psychology of Insects,Jean-Henri Fabre,https://www.gutenberg.org/cache/epub/3754/pg3754-images.html,Animals-Wild-Insects
More Hunting Wasps,Jean-Henri Fabre,https://www.gutenberg.org/cache/epub/3462/pg3462-images.html,Animals-Wild-Insects
Bee Hunting: A Book of Valuable Information for Bee Hunters,John Ready Lockard,https://www.gutenberg.org/cache/epub/34044/pg34044-images.html,Animals-Wild-Insects
British Butterflies: Figures and Descriptions of Every Native Species,Coleman,https://www.gutenberg.org/cache/epub/33852/pg33852-images.html,Animals-Wild-Insects
The Children's Life of the Bee,Maurice Maeterlinck,https://www.gutenberg.org/cache/epub/38516/pg38516-images.html,Animals-Wild-Insects
"Little Busybodies: The Life of Crickets, Ants, Bees, Beetles, and Other",,https://www.gutenberg.org/cache/epub/21948/pg21948-images.html,Animals-Wild-Insects
The Mason-Bees,Jean-Henri Fabre,https://www.gutenberg.org/cache/epub/2884/pg2884-images.html,Animals-Wild-Insects
Moths of the Limberlost: A Book About Limberlost Cabin,Gene Stratton-Porter,https://www.gutenberg.org/cache/epub/4907/pg4907-images.html,Animals-Wild-Insects
Bramble-Bees and Others,Jean-Henri Fabre,https://www.gutenberg.org/cache/epub/3421/pg3421-images.html,Animals-Wild-Insects
Bee and Butterfly: A Tale of Two Cousins,Lucy Foster Madison,https://www.gutenberg.org/cache/epub/33407/pg33407-images.html,Animals-Wild-Insects
The House Fly and How to Suppress It,F. C. Bishopp and L. O. Howard,https://www.gutenberg.org/cache/epub/18050/pg18050-images.html,Animals-Wild-Insects
New observations on the natural history of bees,François Huber,https://www.gutenberg.org/cache/epub/26457/pg26457-images.html,Animals-Wild-Insects
Bees from British Guiana,Theodore D. A. Cockerell,https://www.gutenberg.org/cache/epub/34579/pg34579-images.html,Animals-Wild-Insects
The Extermination of the American Bison,William T. Hornaday,https://www.gutenberg.org/cache/epub/17748/pg17748-images.html,Animals-Wild-Mammals
Wolf and Coyote Trapping: An Up-to-Date Wolf Hunter's Guide,A. R. Harding,https://www.gutenberg.org/cache/epub/34501/pg34501-images.html,Animals-Wild-Mammals
Hunting in Many Lands: The Book of the Boone and Crockett Club,Grinnell et al.,https://www.gutenberg.org/cache/epub/37122/pg37122-images.html,Animals-Wild-Mammals
Sketches of the Natural History of Ceylon,Sir James Emerson Tennent,https://www.gutenberg.org/cache/epub/13325/pg13325-images.html,Animals-Wild-Mammals
Natural History of the Mammalia of India and Ceylon,Robert Armitage Sterndale,https://www.gutenberg.org/cache/epub/19550/pg19550-images.html,Animals-Wild-Mammals
Buffalo Land,W. E. Webb,https://www.gutenberg.org/cache/epub/39674/pg39674-images.html,Animals-Wild-Mammals
Squirrels and Other Fur-Bearers,John Burroughs,https://www.gutenberg.org/cache/epub/24388/pg24388-images.html,Animals-Wild-Mammals
The Barren Ground Caribou of Keewatin,Francis Harper,https://www.gutenberg.org/cache/epub/33721/pg33721-images.html,Animals-Wild-Mammals
"Whales, Dolphins, and Porpoises of the Western North Atlantic",Caldwell et al.,https://www.gutenberg.org/cache/epub/33527/pg33527-images.html,Animals-Wild-Mammals
The Autobiography of a Monkey,Albert Bigelow Paine,https://www.gutenberg.org/cache/epub/33629/pg33629-images.html,Animals-Wild-Mammals
The Mental Life of Monkeys and Apes: A Study of Ideational Behavior,Yerkes,https://www.gutenberg.org/cache/epub/10843/pg10843-images.html,Animals-Wild-Mammals
Methods of Destroying Rats,David E. Lantz,https://www.gutenberg.org/cache/epub/34437/pg34437-images.html,Animals-Wild-Mammals
"A New Piñon Mouse (Peromyscus truei) from Durango, Mexico",Robert B. Finley,https://www.gutenberg.org/cache/epub/31149/pg31149-images.html,Animals-Wild-Mammals
The Forest Habitat of the University of Kansas Natural History Reservation,Fitch et al.,https://www.gutenberg.org/cache/epub/34353/pg34353-images.html,Animals-Wild-Mammals
House Rats and Mice,David E. Lantz,https://www.gutenberg.org/cache/epub/35542/pg35542-images.html,Animals-Wild-Mammals
Life History of the Kangaroo Rat,Walter P. Taylor and Charles Taylor Vorhies,https://www.gutenberg.org/cache/epub/17966/pg17966-images.html,Animals-Wild-Mammals
"Delineations of the Ox Tribe: The Natural History of Bulls, Bisons, and",,https://www.gutenberg.org/cache/epub/27975/pg27975-images.html,Animals-Wild-Mammals
"The Recent Mammals of Tamaulipas, México",Ticul Alvarez,https://www.gutenberg.org/cache/epub/39372/pg39372-images.html,Animals-Wild-Mammals
In New England Fields and Woods,Rowland Evans Robinson,https://www.gutenberg.org/cache/epub/36844/pg36844-images.html,Animals-Wild-Mammals
Ecological Studies of the Timber Wolf in Northeastern Minnesota,Frenzel et al.,https://www.gutenberg.org/cache/epub/37595/pg37595-images.html,Animals-Wild-Mammals
Geographic Distribution and Taxonomy of the Chipmunks of Wyoming,John A. White,https://www.gutenberg.org/cache/epub/31951/pg31951-images.html,Animals-Wild-Mammals
"Mammals of Mesa Verde National Park, Colorado",Sydney Anderson,https://www.gutenberg.org/cache/epub/31035/pg31035-images.html,Animals-Wild-Mammals
Mammals of the San Gabriel Mountains of California,Terry A. Vaughan,https://www.gutenberg.org/cache/epub/34848/pg34848-images.html,Animals-Wild-Mammals
Seaside Studies in Natural History. Marine Animals of Massachusetts Bay.,,https://www.gutenberg.org/cache/epub/35490/pg35490-images.html,Animals-Wild-Mammals
"Habits, Haunts and Anecdotes of the Moose and Illustrations from Life",Jones,https://www.gutenberg.org/cache/epub/37151/pg37151-images.html,Animals-Wild-Mammals
On Snake-Poison: Its Action and Its Antidote,A. Mueller,https://www.gutenberg.org/cache/epub/32947/pg32947-images.html,Animals-Wild-Reptiles
"Neotropical Hylid Frogs, Genus Smilisca",William Edward Duellman and Linda Trueb,https://www.gutenberg.org/cache/epub/37823/pg37823-images.html,Animals-Wild-Reptiles
"Amphibians and Reptiles of the Rainforests of Southern El Petén, Guatemala",,https://www.gutenberg.org/cache/epub/38398/pg38398-images.html,Animals-Wild-Reptiles
"A Distributional Study of the Amphibians of the Isthmus of Tehuantepec, México",,https://www.gutenberg.org/cache/epub/38440/pg38440-images.html,Animals-Wild-Reptiles
"Natural History of the Ornate Box Turtle, Terrapene ornata ornata Agassiz",Legler,https://www.gutenberg.org/cache/epub/37566/pg37566-images.html,Animals-Wild-Reptiles
"Natural History of Cottonmouth Moccasin, Agkistrodon piscovorus (Reptilia)",,https://www.gutenberg.org/cache/epub/38308/pg38308-images.html,Animals-Wild-Reptiles
"A Revision of Snakes of the Genus Conophis (Family Colubridae, from Middle",,https://www.gutenberg.org/cache/epub/37512/pg37512-images.html,Animals-Wild-Reptiles
"The Amphibians and Reptiles of Michoacán, México",William Edward Duellman,https://www.gutenberg.org/cache/epub/33543/pg33543-images.html,Animals-Wild-Reptiles
A Review of the Middle American Tree Frogs of the Genus Ptychohyla,Duellman,https://www.gutenberg.org/cache/epub/35413/pg35413-images.html,Animals-Wild-Reptiles
The Ancestry of Modern Amphibia: A Review of the Evidence,Theodore H. Eaton,https://www.gutenberg.org/cache/epub/37350/pg37350-images.html,Animals-Wild-Reptiles
Some Reptiles and Amphibians from Korea,"Byers, Jones, and Webb",https://www.gutenberg.org/cache/epub/34949/pg34949-images.html,Animals-Wild-Reptiles
Genera of Leptodactylid Frogs in México,John D. Lynch,https://www.gutenberg.org/cache/epub/31830/pg31830-images.html,Animals-Wild-Reptiles
The Adductor Muscles of the Jaw In Some Primitive Reptiles,Richard C. Fox,https://www.gutenberg.org/cache/epub/30321/pg30321-images.html,Animals-Wild-Reptiles
A Review of the Frogs of the Hyla bistincta Group,William Edward Duellman,https://www.gutenberg.org/cache/epub/32653/pg32653-images.html,Animals-Wild-Reptiles
"Occurrence of the Garter Snake, Thamnophis sirtalis, in the Great Plains and",,https://www.gutenberg.org/cache/epub/33966/pg33966-images.html,Animals-Wild-Reptiles
Middle American Frogs of the Hyla microcephala Group,Duellman and Fouquette,https://www.gutenberg.org/cache/epub/34604/pg34604-images.html,Animals-Wild-Reptiles
"A Field Study of the Kansas Ant-Eating Frog, Gastrophryne olivacea",Fitch,https://www.gutenberg.org/cache/epub/33574/pg33574-images.html,Animals-Wild-Reptiles
"Systematic Status of the Colubrid Snake, Leptodeira discolor Günther",Duellman,https://www.gutenberg.org/cache/epub/34954/pg34954-images.html,Animals-Wild-Reptiles
A New Order of Fishlike Amphibia From the Pennsylvanian of Kansas,Eaton et al.,https://www.gutenberg.org/cache/epub/31050/pg31050-images.html,Animals-Wild-Reptiles
A New Extinct Emydid Turtle from the Lower Pliocene of Oklahoma,Galbreath,https://www.gutenberg.org/cache/epub/34449/pg34449-images.html,Animals-Wild-Reptiles
A Taxonomic Revision of the Leptodactylid Frog Genus Syrrhophus Cope,Lynch,https://www.gutenberg.org/cache/epub/37809/pg37809-images.html,Animals-Wild-Reptiles
The Genera of Phyllomedusine Frogs (Anura: Hylidae),William Edward Duellman,https://www.gutenberg.org/cache/epub/31221/pg31221-images.html,Animals-Wild-Reptiles
